x,y,count
1,1,720
1,2,982
1,3,1630
1,4,1406
1,5,1089
1,6,4091
1,7,3784
1,8,2651
1,9,4742
1,10,6159
1,11,14391
1,12,2157
1,13,720
1,14,107
1,15,777
1,16,646
1,17,1272
1,18,1338
1,19,258
1,20,74
1,21,77
1,22,38
1,23,110
1,24,169
1,25,901
1,26,1189
1,27,109
1,28,170
1,29,773
1,30,740
1,31,2135
1,32,5645
1,33,13445
1,34,11331
1,35,5675
1,36,2108
1,37,2232
1,38,3627
1,39,10183
1,40,8699
1,41,7742
1,42,16083
1,43,16691
1,44,16184
1,45,3547
1,46,4185
1,47,7997
1,48,10243
1,49,10125
1,50,2516
1,51,4675
1,52,3872
1,53,2335
1,54,685
1,55,2321
1,56,4237
1,57,260
1,58,57
1,59,1548
1,60,1973
1,61,141
1,63,5
1,64,1
1,66,1
1,67,250
1,68,407
1,69,25
1,70,24
1,71,23
1,72,7
1,73,15
1,74,19
1,75,72
1,76,76
1,77,14
1,78,43
1,79,97
1,80,545
1,81,489
1,83,2
1,84,3
1,85,1
1,86,10
1,87,30
1,88,3
1,89,4
1,94,1
1,95,2
1,96,4
1,98,3
1,100,2
1,101,9
1,102,33
1,103,32
1,105,12
1,109,2
1,110,1
1,111,1
1,112,1
1,113,1
1,118,1
1,120,1
1,124,1
1,129,1
1,133,1
1,134,7
1,135,3
1,136,11
1,137,5
1,138,1
1,140,2
1,143,1
1,144,2
1,145,1
1,146,1
1,149,1
1,151,1
1,152,1
1,153,1
1,154,1
1,159,1
1,164,1
1,169,2
1,170,1
1,172,1
1,173,1
1,174,3
1,175,1
1,176,1
1,178,2
1,180,3
1,181,2
1,183,3
1,186,3
1,188,1
1,189,4
1,193,4
1,194,7
1,195,1
1,196,1
2,1,144
2,2,118
2,3,281
2,4,248
2,5,1661
2,6,1099
2,7,636
2,8,2852
2,9,5133
2,10,2542
2,11,372
2,12,94
2,13,583
2,14,2966
2,15,2069
2,16,154
2,17,120
2,18,646
2,19,18
2,20,33
2,21,27
2,22,7
2,23,29
2,24,10
2,25,186
2,26,730
2,27,461
2,28,1011
2,29,649
2,30,4304
2,31,7198
2,32,4783
2,33,3537
2,34,1977
2,35,6431
2,36,13078
2,37,5175
2,38,506
2,39,1896
2,40,3216
2,41,3548
2,42,10460
2,43,16874
2,44,10651
2,45,14525
2,46,12778
2,47,6486
2,48,2913
2,49,1385
2,50,543
2,51,830
2,52,3178
2,53,2519
2,54,3330
2,55,2743
2,56,5132
2,57,4792
2,58,1023
2,59,1111
2,60,1669
2,61,10
2,62,5
2,63,3
2,64,9
2,65,1
2,67,10
2,68,114
2,69,511
2,70,18
2,72,3
2,73,11
2,75,5
2,76,69
2,77,37
2,78,140
2,79,97
2,80,313
2,81,11
2,82,1
2,83,3
2,84,2
2,85,3
2,86,3
2,87,6
2,88,3
2,89,2
2,90,1
2,93,1
2,94,3
2,95,5
2,96,10
2,98,7
2,99,8
2,100,4
2,101,5
2,102,18
2,103,24
2,104,6
2,105,10
2,106,4
2,107,1
2,109,2
2,121,4
2,124,1
2,126,1
2,132,2
2,133,2
2,137,9
2,138,14
2,140,2
2,142,1
2,144,1
2,145,4
2,146,3
2,147,1
2,148,1
2,150,2
2,156,1
2,159,1
2,161,1
2,162,1
2,163,1
2,164,1
2,167,1
2,169,1
2,171,1
2,174,1
2,175,1
2,176,4
2,177,1
2,178,1
2,179,1
2,180,2
2,182,1
2,183,2
2,184,1
2,186,1
2,188,1
2,189,1
2,190,2
2,191,1
2,194,1
2,196,1
2,200,1
3,1,10
3,2,1
3,4,10
3,5,39
3,7,358
3,8,689
3,9,2615
3,10,439
3,11,743
3,12,1209
3,13,297
3,14,1555
3,15,670
3,16,1
3,17,11
3,18,1
3,20,4
3,21,72
3,22,117
3,23,91
3,24,47
3,25,850
3,26,698
3,27,51
3,28,2477
3,29,1554
3,30,235
3,31,2817
3,32,1867
3,33,2239
3,34,3486
3,35,2518
3,36,1265
3,37,4391
3,38,3204
3,39,1307
3,40,2982
3,41,584
3,42,390
3,43,1300
3,44,3741
3,45,3363
3,46,3686
3,47,2900
3,48,2285
3,49,428
3,50,37
3,51,628
3,52,851
3,53,43
3,54,692
3,55,9
3,56,1
3,59,1
3,60,1
3,61,3
3,62,1
3,63,2
3,64,2
3,65,1
3,66,4
3,67,6
3,68,3
3,69,7
3,70,125
3,71,1488
3,72,8
3,77,8
3,78,15
3,79,220
3,80,165
3,81,3
3,82,11
3,83,6
3,85,2
3,86,2
3,87,2
3,88,4
3,89,1
3,90,2
3,91,1
3,95,3
3,96,3
3,98,1
3,99,3
3,101,2
3,102,9
3,103,3
3,104,2
3,105,7
3,106,5
3,107,1
3,108,1
3,122,1
3,124,1
3,125,1
3,131,1
3,133,1
3,138,4
3,139,13
3,141,1
3,142,2
3,145,1
3,148,2
3,155,1
3,160,1
3,161,1
3,162,1
3,164,2
3,174,1
3,176,2
3,180,1
3,182,1
3,185,1
3,187,1
3,188,1
3,189,1
3,193,1
3,196,2
3,197,2
3,198,1
4,1,2
4,3,3
4,4,15
4,5,47
4,6,4
4,7,12
4,8,3
4,9,3596
4,10,55
4,11,257
4,12,791
4,13,282
4,14,512
4,15,2561
4,16,221
4,17,79
4,18,272
4,19,1
4,20,14
4,21,268
4,22,727
4,23,914
4,24,701
4,25,992
4,26,1758
4,27,2333
4,28,2604
4,29,21
4,30,24
4,31,482
4,32,1303
4,33,3612
4,34,3065
4,35,153
