uid,x,y
0,77,86
1,67,85
2,152,126
3,105,80
4,133,60
5,81,133
6,59,124
7,122,84
8,76,83
9,94,20
10,58,176
11,167,8
12,139,57
13,171,25
14,55,82
15,78,90
16,128,58
17,108,40
18,124,78
19,143,50
20,60,114
21,121,78
22,96,139
23,47,182
24,45,180
25,108,94
26,147,101
27,88,132
28,135,87
29,77,197
30,119,127
31,170,124
32,147,95
33,141,107
34,91,137
35,138,58
36,123,77
37,61,167
38,110,116
39,146,31
40,97,75
41,80,137
42,173,126
43,122,104
44,166,15
45,168,88
46,196,80
47,183,52
48,161,59
49,185,52
50,118,96
51,162,54
52,116,126
53,163,92
54,163,139
55,90,118
56,122,69
57,177,49
58,103,109
59,72,5
60,149,90
61,93,131
62,47,176
63,112,103
64,102,130
65,132,54
66,121,40
67,125,92
68,132,103
69,85,141
70,81,111
71,42,174
72,94,17
73,90,127
74,158,78
75,138,78
76,119,126
77,167,88
78,192,108
79,137,48
80,137,101
81,87,4
82,96,116
83,168,88
84,184,70
85,91,133
86,182,48
87,131,76
88,169,25
89,139,77
90,141,102
91,130,75
92,147,96
93,167,39
94,93,93
95,103,120
96,110,80
97,187,114
98,127,73
99,118,72
100,150,115
101,143,88
102,126,81
103,115,136
104,44,4
105,142,77
106,53,189
107,178,60
108,167,52
109,57,168
110,69,164
111,121,50
112,162,100
113,105,74
114,138,105
115,91,11
116,137,83
117,36,173
118,174,36
119,6,43
120,126,136
121,138,77
122,149,68
123,146,111
124,158,112
125,110,83
126,105,94
127,158,48
128,166,51
129,174,6
130,115,83
131,27,123
132,102,124
133,120,115
134,181,92
135,47,175
136,174,42
137,85,144
138,115,18
139,108,16
140,42,166
141,49,177
142,141,67
143,77,92
144,148,70
145,165,70
146,73,8
147,191,40
148,111,121
149,98,26
150,96,105
151,127,73
152,68,166
153,127,100
154,91,4
155,95,115
156,102,128
157,166,74
158,115,32
159,110,54
160,15,20
161,173,83
162,79,102
163,130,63
164,173,25
165,22,4
166,112,97
167,132,88
168,54,182
169,179,53
170,77,124
171,165,72
172,131,79
173,38,150
174,74,83
175,127,95
176,129,13
177,63,15
178,194,77
179,143,109
180,188,42
181,121,95
182,144,103
