x,y,count
1,1,199
1,2,78
1,3,47
1,4,86
1,5,163
1,6,172
1,7,127
1,8,145
1,9,413
1,10,364
1,11,692
1,12,174
1,13,156
1,14,40
1,15,131
1,16,98
1,17,154
1,18,62
1,19,73
1,20,46
1,21,36
1,22,20
1,23,41
1,24,62
1,25,383
1,26,144
1,27,47
1,28,85
1,29,35
1,30,62
1,31,318
1,32,928
1,33,857
1,34,809
1,35,392
1,36,291
1,37,334
1,38,382
1,39,397
1,40,639
1,41,588
1,42,1071
1,43,1035
1,44,896
1,45,381
1,46,355
1,47,430
1,48,678
1,49,828
1,50,357
1,51,348
1,52,239
1,53,267
1,54,122
1,55,139
1,56,300
1,57,119
1,58,41
1,59,261
1,60,197
1,61,28
1,63,3
1,64,1
1,66,1
1,67,68
1,68,140
1,69,14
1,70,12
1,71,17
1,72,6
1,73,11
1,74,17
1,75,41
1,76,39
1,77,12
1,78,8
1,79,11
1,80,24
1,81,25
1,83,2
1,84,3
1,85,1
1,86,7
1,87,14
1,88,3
1,89,4
1,94,1
1,95,2
1,96,3
1,98,1
1,100,2
1,101,8
1,102,15
1,103,18
1,105,6
1,109,1
1,110,1
1,111,1
1,112,1
1,113,1
1,118,1
1,120,1
1,124,1
1,129,1
1,133,1
1,134,5
1,135,3
1,136,7
1,137,4
1,138,1
1,140,2
1,143,1
1,144,2
1,145,1
1,146,1
1,149,1
1,151,1
1,152,1
1,153,1
1,154,1
1,159,1
1,164,1
1,169,2
1,170,1
1,172,1
1,173,1
1,174,1
1,175,1
1,176,1
1,178,2
1,180,1
1,181,2
1,183,2
1,186,1
1,188,1
1,189,2
1,193,2
1,194,1
1,195,1
1,196,1
2,1,79
2,2,35
2,3,71
2,4,80
2,5,135
2,6,59
2,7,99
2,8,279
2,9,392
2,10,326
2,11,89
2,12,41
2,13,90
2,14,120
2,15,67
2,16,35
2,17,55
2,18,22
2,19,13
2,20,22
2,21,19
2,22,4
2,23,17
2,24,9
2,25,103
2,26,141
2,27,123
2,28,202
2,29,301
2,30,772
2,31,622
2,32,352
2,33,265
2,34,198
2,35,498
2,36,710
2,37,439
2,38,154
2,39,431
2,40,649
2,41,741
2,42,1398
2,43,1294
2,44,1241
2,45,1473
2,46,937
2,47,660
2,48,492
2,49,107
2,50,85
2,51,152
2,52,254
2,53,244
2,54,196
2,55,295
2,56,463
2,57,449
2,58,674
2,59,448
2,60,36
2,61,5
2,62,3
2,63,3
2,64,5
2,65,1
2,67,7
2,68,63
2,69,65
2,70,10
2,72,1
2,73,2
2,75,5
2,76,12
2,77,24
2,78,42
2,79,22
2,80,43
2,81,10
2,82,1
2,83,3
2,84,1
2,85,3
2,86,2
2,87,4
2,88,3
2,89,1
2,90,1
2,93,1
2,94,2
2,95,5
2,96,9
2,98,5
2,99,5
2,100,4
2,101,4
2,102,12
2,103,15
2,104,6
2,105,4
2,106,2
2,107,1
2,109,2
2,121,2
2,124,1
2,126,1
2,132,1
2,133,2
2,137,5
2,138,12
2,140,2
2,142,1
2,144,1
2,145,4
2,146,3
2,147,1
2,148,1
2,150,1
2,156,1
2,159,1
2,161,1
2,162,1
2,163,1
2,164,1
2,167,1
2,169,1
2,171,1
2,174,1
2,175,1
2,176,1
2,177,1
2,178,1
2,179,1
2,180,1
2,182,1
2,183,1
2,184,1
2,186,1
2,188,1
2,189,1
2,190,1
2,191,1
2,194,1
2,196,1
2,200,1
3,1,6
3,2,1
3,4,7
3,5,16
3,7,55
3,8,27
3,9,411
3,10,147
3,11,78
3,12,161
3,13,73
3,14,97
3,15,100
3,16,1
3,17,11
3,18,1
3,20,4
3,21,35
3,22,46
3,23,31
3,24,27
3,25,193
3,26,59
3,27,32
3,28,676
3,29,481
3,30,55
3,31,235
3,32,227
3,33,289
3,34,480
3,35,437
3,36,150
3,37,397
3,38,516
3,39,473
3,40,639
3,41,97
3,42,88
3,43,108
3,44,149
3,45,369
3,46,195
3,47,196
3,48,129
3,49,49
3,50,18
3,51,43
3,52,49
3,53,21
3,54,68
3,55,6
3,56,1
3,59,1
3,60,1
3,61,2
3,62,1
3,63,2
3,64,1
3,65,1
3,66,2
3,67,6
3,68,3
3,69,7
3,70,23
3,71,48
3,72,3
3,77,5
3,78,8
3,79,30
3,80,28
3,81,3
3,82,9
3,83,6
3,85,2
3,86,2
3,87,1
3,88,2
3,89,1
3,90,1
3,91,1
3,95,2
3,96,3
3,98,1
3,99,3
3,101,2
3,102,7
3,103,2
3,104,2
3,105,6
3,106,5
3,107,1
3,108,1
3,122,1
3,124,1
3,125,1
3,131,1
3,133,1
3,138,2
3,139,7
3,141,1
3,142,2
3,145,1
3,148,1
3,155,1
3,160,1
3,161,1
3,162,1
3,164,2
3,174,1
3,176,1
3,180,1
3,182,1
3,185,1
3,187,1
3,188,1
3,189,1
3,193,1
3,196,1
3,197,2
3,198,1
4,1,2
4,3,3
4,4,4
4,5,38
4,6,3
4,7,2
4,8,2
4,9,516
4,10,17
4,11,67
4,12,141
4,13,95
4,14,134
4,15,242
4,16,46
4,17,39
4,18,25
4,19,1
4,20,7
4,21,34
4,22,80
4,23,109
4,24,88
4,25,192
4,26,191
4,27,760
4,28,653
4,29,12
4,30,19
4,31,127
4,32,168
4,33,185
4,34,403
4,35,80
4,36,78
4,37,47
4,38,879
4,39,610
4,40,72
4,41,76
4,42,46
4,43,131
4,44,180
4,45,142
4,46,266
4,47,134
4,48,156
4,49,54
4,50,44
4,51,38
4,52,14
4,53,2
4,57,1
4,59,1
4,60,1
4,61,4
4,62,5
4,63,2
4,64,1
4,66,2
4,67,6
4,68,2
4,69,4
4,70,5
4,71,45
4,72,21
4,73,9
4,74,5
4,75,6
4,76,1
4,78,5
4,79,16
4,80,22
4,81,13
4,82,5
4,83,11
4,84,17
4,85,3
4,86,1
4,87,6
4,88,3
4,90,1
4,91,2
4,92,2
4,94,3
4,95,4
4,96,2
4,97,2
4,98,2
4,99,3
4,100,1
4,101,2
4,102,2
4,103,8
4,104,9
4,105,3
4,106,3
4,113,3
4,118,1
4,123,1
4,125,1
4,128,1
4,131,1
4,132,2
4,136,2
4,138,1
4,140,1
4,142,1
4,143,1
4,144,1
4,148,1
4,149,1
4,151,1
4,153,1
4,158,1
4,159,1
4,161,1
4,163,1
4,168,1
4,169,1
4,170,1
4,174,1
4,176,1
4,177,1
4,178,1
4,179,1
4,180,1
4,181,2
4,186,1
4,190,1
4,193,1
4,194,1
4,196,1
5,1,1
5,2,3
5,3,1
5,4,88
5,5,67
5,6,151
5,7,107
5,8,386
5,9,285
5,10,17
5,11,9
5,12,10
5,13,45
5,14,54
5,15,150
5,16,132
5,17,123
5,18,61
5,19,72
5,20,21
5,21,38
5,22,22
5,23,27
5,24,267
5,25,1134
5,26,758
5,27,167
5,28,48
5,29,25
5,30,100
5,31,118
5,32,141
5,33,299
5,34,671
5,35,281
5,36,151
5,37,261
5,38,902
5,39,107
5,40,146
5,41,40
5,42,38
5,43,36
5,44,36
5,45,80
5,46,125
5,47,194
5,48,87
5,49,101
5,50,39
5,51,31
5,52,4
5,54,1
5,56,1
5,57,1
5,58,1
5,59,2
5,64,1
5,67,1
5,71,2
5,72,2
5,73,1
5,74,1
5,75,4
5,76,5
5,78,2
5,79,20
5,80,74
5,81,34
5,82,18
5,83,22
5,84,12
5,85,6
5,86,11
5,87,9
5,88,4
5,90,3
5,91,4
5,93,17
5,94,9
5,95,4
5,96,1
5,97,3
5,98,2
5,99,2
5,101,3
5,102,5
5,103,8
5,104,8
5,105,9
5,107,4
5,108,1
5,109,1
5,114,1
5,118,1
5,120,1
5,121,1
5,122,1
5,123,1
5,124,1
5,126,1
5,127,1
5,130,2
5,131,2
5,132,1
5,137,2
5,138,1
5,139,1
5,143,2
5,144,2
5,150,1
5,152,1
5,153,3
5,154,3
5,158,1
5,171,1
5,174,1
5,181,1
5,183,1
5,184,1
5,186,1
5,188,3
5,189,1
5,190,1
5,191,1
5,192,1
5,194,1
5,197,1
6,1,4
6,2,63
6,3,111
6,4,370
6,5,84
6,6,31
6,7,199
6,8,625
6,9,197
6,10,77
6,11,2
6,13,1
6,14,8
6,15,67
6,16,19
6,17,97
6,18,17
6,19,23
6,20,65
6,21,96
6,22,122
6,23,378
6,24,495
6,25,180
6,26,219
6,27,222
6,28,164
6,29,185
6,30,220
6,31,156
6,32,205
6,33,205
6,34,360
6,35,76
6,36,53
6,37,352
6,38,167
6,39,16
6,40,37
6,41,55
6,42,82
6,43,36
6,44,4
6,45,15
6,46,49
6,47,93
6,48,108
6,49,66
6,50,22
6,52,3
6,53,1
6,56,1
6,57,1
6,58,2
6,59,3
6,60,3
6,61,1
6,64,1
6,66,1
6,69,1
6,73,1
6,75,1
6,76,4
6,77,13
6,78,7
6,79,9
6,80,14
6,81,52
6,82,32
6,83,45
6,84,3
6,85,5
6,86,28
6,87,9
6,88,11
6,89,3
6,90,4
6,92,1
6,93,5
6,94,14
6,95,1
6,98,1
6,99,2
6,100,1
6,101,2
6,102,1
6,103,9
6,104,6
6,105,5
6,106,2
6,107,7
6,110,1
6,113,1
6,117,1
6,118,2
6,119,1
6,120,2
6,123,2
6,126,1
6,128,2
6,133,1
6,134,1
6,137,5
6,140,1
6,149,1
6,150,1
6,152,1
6,153,1
6,167,1
6,182,1
6,187,1
6,191,1
6,193,1
6,197,2
7,1,337
7,2,144
7,3,54
7,4,62
7,5,319
7,6,191
7,7,373
7,8,120
7,9,41
7,10,212
7,11,165
7,12,20
7,13,11
7,14,33
7,15,152
7,16,14
7,17,38
7,18,56
7,19,133
7,20,204
7,21,726
7,22,897
7,23,242
7,24,187
7,25,84
