uid,count
0,1261
1,2592
2,1044
3,1277
4,2091
5,895
6,2216
7,1200
8,2026
9,1116
10,1096
11,2051
12,939
13,1400
14,1562
15,1675
16,1564
17,2100
18,1634
19,1941
20,732
21,1750
22,877
23,1586
24,2285
25,883
26,1042
27,1007
28,675
29,2134
30,882
31,1845
32,703
33,2194
34,1240
35,1215
36,1603
37,898
38,1136
39,1038
40,833
41,692
42,1230
43,901
44,1281
45,686
46,2742
47,952
48,1166
49,1190
50,1370
51,1305
52,934
53,1127
54,1042
55,984
56,1489
57,1694
58,1616
59,1178
60,1821
61,1302
62,1013
63,1139
64,840
65,901
66,971
67,848
68,1535
69,1821
70,2262
71,1901
72,1323
73,1163
74,1612
75,916
76,2299
77,1874
78,1215
79,749
80,1375
81,1023
82,1864
83,959
84,1890
85,677
86,821
87,952
88,1701
89,727
90,2106
91,759
92,780
93,2001
94,748
95,1619
96,961
97,1407
98,1081
99,1533
100,1447
101,855
102,2134
103,1091
104,1996
105,742
106,873
107,1068
108,1052
109,1498
110,2154
111,1095
112,1288
113,1581
114,1516
115,797
116,894
117,1531
118,2103
119,1118
120,769
121,936
122,1568
123,897
124,1586
125,1034
126,1173
127,1414
128,695
129,1441
130,1272
131,753
132,1122
133,900
134,1382
135,650
136,1018
137,1379
138,843
139,1357
140,857
141,1577
142,1111
143,1315
144,738
145,1396
146,1027
147,1033
148,958
149,1284
150,886
151,1136
152,1026
153,834
154,1203
155,1101
156,946
157,2021
158,687
159,1210
160,1755
161,732
162,1261
163,1061
164,1126
165,1114
166,910
167,866
168,1069
169,776
170,912
171,626
172,1015
173,1939
174,1397
175,839
176,1005
177,892
178,1273
179,1323
180,860
181,889
182,788
183,892
184,1031
185,1249
186,848
187,1618
188,792
189,1485
190,1096
191,1407
192,1145
193,1062
194,905
195,829
196,877
197,1062
198,1753
199,651
200,1095
201,1120
202,841
203,957
204,901
205,1597
206,1300
207,995
208,1367
209,1425
210,972
211,903
212,1453
213,1255
214,686
215,2055
216,989
217,1294
218,1352
219,1878
220,1011
221,1743
222,1119
223,991
224,2380
225,1179
226,774
227,2358
228,1069
229,1329
230,1196
231,867
232,1648
233,727
234,1389
235,1444
236,1582
237,1178
238,1453
239,919
240,680
241,912
242,1502
243,1050
244,1285
245,1908
246,1313
247,1591
248,896
249,735
250,728
251,1399
252,867
253,730
254,1134
255,1339
256,765
257,1996
258,853
259,962
260,1158
261,1682
262,693
263,755
264,1578
265,791
266,866
267,1045
268,2239
269,948
270,1381
271,1732
272,812
273,1508
274,1748
275,1045
276,1216
277,1147
278,914
279,915
280,826
281,719
282,1194
283,1109
284,1413
285,1305
286,1652
287,1212
288,853
289,1015
290,2316
291,1305
292,860
293,815
294,1208
295,1186
296,1373
297,1354
298,1263
299,955
300,903
301,1209
302,1278
303,1399
304,1185
305,1025
306,1448
307,1981
308,1222
309,1646
310,1105
311,1557
312,1932
313,957
314,1156
315,719
316,2296
317,1304
318,887
319,1224
320,725
321,1459
322,764
323,900
324,817
325,1026
326,1333
327,1024
328,1022
329,1670
330,2373
331,861
332,1240
333,887
334,1091
335,1096
336,1382
337,1210
338,1088
339,1127
340,1017
341,1880
342,873
343,1194
344,879
345,1130
346,1287
347,920
348,783
349,940
350,759
351,1157
352,797
353,687
354,860
355,1962
356,1040
357,1477
358,830
359,1618
360,1169
361,955
362,1324
363,1204
364,1087
365,1046
366,1091
367,1896
368,764
369,1214
370,1070
371,989
372,1110
373,1262
374,2039
375,1191
376,2266
377,1885
378,1207
379,1451
380,1032
381,1344
382,842
383,995
384,838
385,837
386,1031
387,972
388,1424
389,1511
390,1085
391,676
392,719
393,787
394,1460
395,1196
396,1038
397,2294
398,918
399,930
400,1221
401,2470
402,614
403,1447
404,1010
405,2599
406,1885
407,1203
408,1996
409,1528
410,973
411,1171
412,1135
413,1171
414,1139
415,1081
416,1226
417,1471
418,1738
419,1085
420,890
421,1011
422,1548
423,859
424,1643
425,1124
426,1036
427,635
428,965
429,835
430,935
431,1639
432,751
433,1879
434,1917
435,976
436,930
437,1184
438,677
439,815
440,1076
441,863
442,958
443,1196
444,1654
445,1802
446,1355
447,810
448,974
449,1290
450,1219
451,1864
452,1707
453,1029
454,886
455,807
456,1293
457,924
458,1562
459,1474
460,976
461,1686
462,631
463,993
464,2003
465,1020
466,865
467,866
468,790
469,922
470,1399
471,1449
472,753
473,935
474,1942
475,943
476,633
477,623
478,1299
479,1085
480,1212
481,1836
482,1036
483,899
484,750
485,1488
486,914
487,1602
488,1622
489,692
490,894
491,1220
492,739
493,2006
